Year,Month,YearMonth,Port1,Port2,Route,$Value,$Real,,,,,,,,
2010,1,201001,Adelaide,Brisbane,Adelaide - Brisbane,208,305.6638655,,,,,,,,
2010,1,201001,Adelaide,Canberra,Adelaide - Canberra,258,379.1407563,,,,,,,,
2010,1,201001,Adelaide,Darwin,Adelaide - Darwin,358,526.0945378,,,,,,,,
2010,1,201001,Adelaide,Gold Coast,Adelaide - Gold Coast,128,188.1008403,,,,,,,,
2010,1,201001,Adelaide,Melbourne,Adelaide - Melbourne,86,126.3802521,,,,,,,,
2010,1,201001,Adelaide,Perth,Adelaide - Perth,288,423.2268908,,,,,,,,``
2010,1,201001,Adelaide,Port Lincoln,Adelaide - Port Lincoln,212.85,312.7911239,,,,,,,,
2010,1,201001,Adelaide,Sydney,Adelaide - Sydney,116,170.4663866,,,,,,,,
2010,1,201001,Albury,Sydney,Albury - Sydney,133,195.4485294,,,,,,,,
2010,1,201001,Alice Springs,Darwin,Alice Springs - Darwin,428,628.9621849,,,,,,,,
2010,1,201001,Alice Springs,Melbourne,Alice Springs - Melbourne,166,243.9432773,,,,,,,,
2010,1,201001,Alice Springs,Sydney,Alice Springs - Sydney,458,673.0483193,,,,,,,,
2010,1,201001,Avalon,Brisbane,Avalon - Brisbane,158,232.1869748,,,,,,,,
2010,1,201001,Avalon,Sydney,Avalon - Sydney,78,114.6239496,,,,,,,,
2010,1,201001,Ayers Rock,Cairns,Ayers Rock - Cairns,628,922.8697479,,,,,,,,
2010,1,201001,Ayers Rock,Sydney,Ayers Rock - Sydney,618,908.1743697,,,,,,,,
2010,1,201001,Ballina,Sydney,Ballina - Sydney,148,217.4915966,,,,,,,,
2010,1,201001,Brisbane,Cairns,Brisbane - Cairns,188,276.2731092,,,,,,,,
2010,1,201001,Brisbane,Canberra,Brisbane - Canberra,158,232.1869748,,,,,,,,
2010,1,201001,Brisbane,Darwin,Brisbane - Darwin,258,379.1407563,,,,,,,,
2010,1,201001,Brisbane,Emerald,Brisbane - Emerald,365,536.3813025,,,,,,,,
2010,1,201001,Brisbane,Gladstone,Brisbane - Gladstone,224,329.1764706,,,,,,,,
2010,1,201001,Brisbane,Hamilton Island,Brisbane - Hamilton Island,120,176.3445378,,,,,,,,
2010,1,201001,Brisbane,Hobart,Brisbane - Hobart,348,511.3991597,,,,,,,,
2010,1,201001,Brisbane,Mackay,Brisbane - Mackay,108,158.710084,,,,,,,,
2010,1,201001,Brisbane,Melbourne,Brisbane - Melbourne,218,320.3592437,,,,,,,,
2010,1,201001,Brisbane,Mount Isa,Brisbane - Mount Isa,471,692.1523109,,,,,,,,
2010,1,201001,Brisbane,Perth,Brisbane - Perth,438,643.657563,,,,,,,,
2010,1,201001,Brisbane,Proserpine,Brisbane - Proserpine,128,188.1008403,,,,,,,,
2010,1,201001,Brisbane,Rockhampton,Brisbane - Rockhampton,87,127.8497899,,,,,,,,
2010,1,201001,Brisbane,Sydney,Brisbane - Sydney,128,188.1008403,,,,,,,,
2010,1,201001,Brisbane,Townsville,Brisbane - Townsville,148,217.4915966,,,,,,,,
2010,1,201001,Brisbane,Newcastle,Brisbane - Newcastle,78,114.6239496,,,,,,,,
2010,1,201001,Broome,Perth,Broome - Perth,278,408.5315126,,,,,,,,
2010,1,201001,Bundaberg,Brisbane,Bundaberg - Brisbane,224,329.1764706,,,,,,,,
2010,1,201001,Cairns,Melbourne,Cairns - Melbourne,348,511.3991597,,,,,,,,
2010,1,201001,Cairns,Sydney,Cairns - Sydney,368,540.789916,,,,,,,,
2010,1,201001,Cairns,Townsville,Cairns - Townsville,108,158.710084,,,,,,,,
2010,1,201001,Canberra,Melbourne,Canberra - Melbourne,76,111.6848739,,,,,,,,
2010,1,201001,Canberra,Sydney,Canberra - Sydney,98,144.0147059,,,,,,,,
2010,1,201001,Coffs Harbour,Sydney,Coffs Harbour - Sydney,118,173.4054622,,,,,,,,
2010,1,201001,Darwin,Melbourne,Darwin - Melbourne,268,393.8361345,,,,,,,,
2010,1,201001,Darwin,Perth,Darwin - Perth,364,534.9117647,,,,,,,,
2010,1,201001,Darwin,Sydney,Darwin - Sydney,448,658.3529412,,,,,,,,
2010,1,201001,Devonport,Melbourne,Devonport - Melbourne,240,352.6890756,,,,,,,,
2010,1,201001,Dubbo,Sydney,Dubbo - Sydney,247.22,363.2991387,,,,,,,,
2010,1,201001,Geraldton,Perth,Geraldton - Perth,222.39,326.8105147,,,,,,,,
2010,1,201001,Gold Coast,Sydney,Gold Coast - Sydney,76,111.6848739,,,,,,,,
2010,1,201001,Hamilton Island,Sydney,Hamilton Island - Sydney,288,423.2268908,,,,,,,,
2010,1,201001,Hervey Bay,Sydney,Hervey Bay - Sydney,280,411.4705882,,,,,,,,
2010,1,201001,Hobart,Melbourne,Hobart - Melbourne,96,141.0756303,,,,,,,,
2010,1,201001,Hobart,Sydney,Hobart - Sydney,178,261.5777311,,,,,,,,
2010,1,201001,Kalgoorlie,Perth,Kalgoorlie - Perth,248,364.4453782,,,,,,,,
2010,1,201001,Karratha,Perth,Karratha - Perth,308,452.6176471,,,,,,,,
2010,1,201001,Launceston,Melbourne,Launceston - Melbourne,86,126.3802521,,,,,,,,
2010,1,201001,Launceston,Sydney,Launceston - Sydney,198.95,292.3645483,,,,,,,,
2010,1,201001,Sunshine Coast,Melbourne,Sunshine Coast - Melbourne,178,261.5777311,,,,,,,,
2010,1,201001,Sunshine Coast,Sydney,Sunshine Coast - Sydney,188,276.2731092,,,,,,,,
2010,1,201001,Melbourne,Gold Coast,Melbourne - Gold Coast,118,173.4054622,,,,,,,,
2010,1,201001,Melbourne,Mildura,Melbourne - Mildura,174,255.6995798,,,,,,,,
2010,1,201001,Melbourne,Perth,Melbourne - Perth,316,464.3739496,,,,,,,,
2010,1,201001,Melbourne,Sydney,Melbourne - Sydney,56,82.29411765,,,,,,,,
2010,1,201001,Melbourne,Newcastle,Melbourne - Newcastle,144,211.6134454,,,,,,,,
2010,1,201001,Paraburdoo,Perth,Paraburdoo - Perth,453,665.7006303,,,,,,,,
2010,1,201001,Perth,Newman,Perth - Newman,358,526.0945378,,,,,,,,
2010,1,201001,Perth,Port Hedland,Perth - Port Hedland,258,379.1407563,,,,,,,,
2010,1,201001,Perth,Sydney,Perth - Sydney,378,555.4852941,,,,,,,,
2010,1,201001,Port Macquarie,Sydney,Port Macquarie - Sydney,144,211.6134454,,,,,,,,
2010,1,201001,Sydney,Tamworth,Sydney - Tamworth,261,383.5493697,,,,,,,,
2010,1,201001,Sydney,Townsville,Sydney - Townsville,198,290.9684874,,,,,,,,
2010,1,201001,Sydney,Wagga Wagga,Sydney - Wagga Wagga,230.41,338.596208,,,,,,,,
2010,1,201001,Newcastle,Gold Coast,Newcastle - Gold Coast,130,191.039916,,,,,,,,
2010,2,201002,Adelaide,Brisbane,Adelaide - Brisbane,278,408.5315126,,,,,,,,
2010,2,201002,Adelaide,Canberra,Adelaide - Canberra,274,402.6533613,,,,,,,,
2010,2,201002,Adelaide,Darwin,Adelaide - Darwin,579,850.862395,,,,,,,,
2010,2,201002,Adelaide,Gold Coast,Adelaide - Gold Coast,135.6,199.2693277,,,,,,,,
2010,2,201002,Adelaide,Melbourne,Adelaide - Melbourne,81.6,119.9142857,,,,,,,,
2010,2,201002,Adelaide,Perth,Adelaide - Perth,368,540.789916,,,,,,,,
2010,2,201002,Adelaide,Port Lincoln,Adelaide - Port Lincoln,177.66,261.0780882,,,,,,,,
2010,2,201002,Adelaide,Sydney,Adelaide - Sydney,117.6,172.8176471,,,,,,,,
2010,2,201002,Albury,Sydney,Albury - Sydney,138,202.7962185,,,,,,,,
2010,2,201002,Alice Springs,Darwin,Alice Springs - Darwin,508,746.5252101,,,,,,,,
2010,2,201002,Alice Springs,Melbourne,Alice Springs - Melbourne,176,258.6386555,,,,,,,,
2010,2,201002,Alice Springs,Sydney,Alice Springs - Sydney,538,790.6113445,,,,,,,,
2010,2,201002,Avalon,Brisbane,Avalon - Brisbane,178,261.5777311,,,,,,,,
2010,2,201002,Avalon,Sydney,Avalon - Sydney,98,144.0147059,,,,,,,,
2010,2,201002,Ayers Rock,Cairns,Ayers Rock - Cairns,838,1231.472689,,,,,,,,
2010,2,201002,Ayers Rock,Sydney,Ayers Rock - Sydney,818,1202.081933,,,,,,,,
2010,2,201002,Ballina,Sydney,Ballina - Sydney,178,261.5777311,,,,,,,,
2010,2,201002,Brisbane,Cairns,Brisbane - Cairns,208,305.6638655,,,,,,,,
2010,2,201002,Brisbane,Canberra,Brisbane - Canberra,178,261.5777311,,,,,,,,
2010,2,201002,Brisbane,Darwin,Brisbane - Darwin,248,364.4453782,,,,,,,,
2010,2,201002,Brisbane,Emerald,Brisbane - Emerald,369,542.2594538,,,,,,,,
2010,2,201002,Brisbane,Gladstone,Brisbane - Gladstone,254,373.262605,,,,,,,,
2010,2,201002,Brisbane,Hamilton Island,Brisbane - Hamilton Island,158,232.1869748,,,,,,,,
2010,2,201002,Brisbane,Hobart,Brisbane - Hobart,508,746.5252101,,,,,,,,
2010,2,201002,Brisbane,Mackay,Brisbane - Mackay,178,261.5777311,,,,,,,,
2010,2,201002,Brisbane,Melbourne,Brisbane - Melbourne,238,349.75,,,,,,,,
2010,2,201002,Brisbane,Mount Isa,Brisbane - Mount Isa,544,799.4285714,,,,,,,,
2010,2,201002,Brisbane,Perth,Brisbane - Perth,438,643.657563,,,,,,,,
2010,2,201002,Brisbane,Proserpine,Brisbane - Proserpine,158,232.1869748,,,,,,,,
2010,2,201002,Brisbane,Rockhampton,Brisbane - Rockhampton,87,127.8497899,,,,,,,,
2010,2,201002,Brisbane,Sydney,Brisbane - Sydney,148,217.4915966,,,,,,,,
2010,2,201002,Brisbane,Townsville,Brisbane - Townsville,188,276.2731092,,,,,,,,
2010,2,201002,Brisbane,Newcastle,Brisbane - Newcastle,88,129.3193277,,,,,,,,
