"Daily Weather Observations for Melbourne (Olympic Park), Victoria for July 2023"
"Prepared at 13:01 UTC on Tuesday 13 August 2024   IDCJDW3033.202307"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-07-1,9.7,13.5,0.4,,,SSW,33,12:32,10.9,81,,W,11,1023.2,11.3,89,,SW,9,1025.8
,2023-07-2,9.6,12.8,0.6,,,S,17,11:02,10.5,88,,SW,6,1033.9,11.9,83,,SSW,9,1032.7
,2023-07-3,8.2,14.5,0.4,,,N,20,14:58,8.4,90,,NNE,7,1030.4,14.1,64,,N,13,1024.8
,2023-07-4,8.3,13.6,0,,,NE,15,07:48,10.9,82,,NNE,9,1017.9,13.4,77,,NE,9,1012.7
,2023-07-5,10.8,14.7,2.4,,,NNW,31,14:36,11.6,95,,NW,4,1012.2,13.7,56,,NNW,13,1011.2
,2023-07-6,10.0,15.2,0,,,N,50,10:40,11.8,75,,N,15,1010.4,14.5,56,,N,24,1006.1
,2023-07-7,9.9,15.5,1.0,,,NNW,39,16:14,11.3,71,,NNW,11,1010.0,15.0,50,,NNW,17,1009.0
,2023-07-8,10.5,14.9,1.2,,,N,52,01:40,11.6,64,,NNW,22,1005.0,14.2,50,,NW,19,1005.9
,2023-07-9,10.9,16.9,0.2,,,W,39,12:41,12.9,77,,NNW,11,1015.3,16.3,58,,WNW,9,1015.9
,2023-07-10,11.9,17.1,0.8,,,N,44,13:57,13.2,66,,NNW,17,1021.5,15.7,56,,NNW,19,1019.5
,2023-07-11,11.6,17.6,0.4,,,N,28,00:19,12.9,84,,NNW,9,1025.8,16.8,54,,WSW,9,1025.3
,2023-07-12,11.1,17.7,0,,,N,39,12:28,12.5,81,,N,17,1028.1,16.7,45,,NNW,20,1026.1
,2023-07-13,9.5,15.9,0,,,N,52,13:06,11.3,69,,N,17,1026.2,15.4,52,,N,28,1022.1
,2023-07-14,11.0,14.7,0,,,N,48,14:40,11.0,69,,N,19,1020.1,14.1,57,,N,28,1015.5
,2023-07-15,10.1,12.5,0,,,N,35,03:14,10.8,65,,NNW,17,1017.7,11.5,75,,SSW,11,1019.9
,2023-07-16,4.8,14.8,0.4,,,SSW,20,11:38,7.3,79,,NE,9,1029.2,13.9,60,,S,9,1028.6
,2023-07-17,4.0,16.5,0,,,N,33,13:31,7.7,79,,NNE,9,1029.3,16.3,49,,N,17,1025.2
,2023-07-18,7.6,14.6,0,,,NW,44,11:50,9.9,69,,N,13,1019.7,13.6,55,,WSW,15,1020.1
,2023-07-19,4.7,14.3,0.8,,,W,19,00:12,6.6,78,,NE,9,1026.3,13.1,48,,SSW,6,1022.9
,2023-07-20,5.8,13.4,0,,,NNW,59,10:29,9.1,66,,N,28,1014.9,10.9,68,,N,19,1010.7
,2023-07-21,6.7,13.9,0.4,,,NNW,26,00:06,9.0,73,,W,7,1021.3,13.2,57,,S,7,1021.8
,2023-07-22,5.7,15.8,0,,,N,24,12:32,9.3,73,,NNE,4,1023.8,14.1,48,,NNW,7,1021.2
,2023-07-23,7.2,13.1,0,,,SSW,22,14:43,10.6,80,,WNW,6,1026.5,13.0,81,,SSW,11,1026.9
,2023-07-24,6.1,13.5,1.4,,,SSW,20,13:22,9.6,84,,WNW,7,1032.6,12.7,77,,SSW,2,1031.4
,2023-07-25,9.6,14.8,0,,,SSW,17,14:21,11.2,90,,NNE,7,1037.0,14.1,57,,SSW,9,1035.5
,2023-07-26,4.9,14.7,0,,,N,22,09:38,8.6,85,,NE,6,1035.8,14.2,57,,SSW,7,1032.4
,2023-07-27,6.8,17.2,0,,,N,43,11:59,9.7,78,,N,15,1027.9,16.7,52,,N,22,1022.0
,2023-07-28,9.6,18.9,7.2,,,N,50,01:11,13.0,78,,N,19,1015.8,18.4,50,,NW,20,1015.5
,2023-07-29,11.1,18.8,0,,,NNW,50,13:04,12.9,82,,NNW,11,1019.7,18.1,49,,NNW,22,1016.5
,2023-07-30,10.1,17.9,0,,,NW,46,13:54,12.1,72,,N,19,1017.9,16.7,53,,NNW,22,1015.4
,2023-07-31,10.6,16.9,3.0,,,N,41,14:48,12.7,64,,NNW,11,1022.1,16.2,50,,NNW,19,1020.5
