"Daily Weather Observations for Melbourne (Olympic Park), Victoria for August 2023"
"Prepared at 13:01 UTC on Monday 12 August 2024   IDCJDW3033.202308"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-08-1,11.5,14.9,0,,,NNW,35,02:08,13.3,67,,W,11,1028.8,14.7,54,,SSW,9,1030.1
,2023-08-2,5.8,17.1,0,,,N,43,14:23,7.9,83,,NNE,11,1033.9,16.8,50,,N,20,1029.6
,2023-08-3,7.8,19.8,0,,,N,48,12:34,13.5,67,,N,20,1029.3,19.6,45,,N,22,1024.5
,2023-08-4,13.4,18.2,0,,,N,61,10:32,16.2,55,,N,22,1022.2,16.1,63,,N,33,1020.2
,2023-08-5,9.3,13.6,0,,,SSW,26,10:45,11.0,65,,SW,9,1033.5,13.0,57,,SW,7,1033.5
,2023-08-6,8.6,13.4,0,,,S,20,13:12,9.9,91,,WNW,4,1035.4,12.2,77,,SSW,11,1033.6
,2023-08-7,9.0,13.7,0,,,SW,19,13:06,10.6,84,, ,Calm,1033.8,13.3,63,,SSW,11,1032.2
,2023-08-8,4.7,14.2,0,,,SSW,15,13:52,6.3,100,,NE,7,1034.0,13.3,67,,SSW,9,1030.3
,2023-08-9,5.5,18.4,0.2,,,,,,11.4,74,,N,13,1027.0,18.2,47,,N,24,1020.9
,2023-08-10,10.6,14.5,2.8,,,N,50,00:50,11.9,72,,WNW,11,1019.4,13.8,60,,SW,6,1020.8
,2023-08-11,8.2,15.7,0,,,NNW,30,15:49,12.3,67,,N,7,1022.7,14.8,51,,NNW,15,1019.8
,2023-08-12,11.0,16.0,0,,,NNW,33,04:39,11.2,78,,N,13,1019.3,12.9,87,,S,2,1017.2
,2023-08-13,7.2,12.9,3.4,,,SSW,24,14:54,8.8,96,,WNW,2,1021.7,11.4,69,,SSW,15,1019.7
,2023-08-14,3.4,12.7,0,,,SSW,26,12:03,5.9,90,,NE,2,1020.0,12.3,52,,S,11,1018.7
,2023-08-15,3.4,13.1,0,,,SSW,20,14:15,7.4,77,,NE,6,1024.4,12.7,54,,S,13,1022.8
,2023-08-16,1.6,15.8,0,,,N,35,13:36,5.3,78,,NE,9,1022.1,15.2,39,,N,17,1016.7
,2023-08-17,5.3,12.5,0,,,N,44,13:25,11.1,61,,N,15,1012.6,12.1,53,,N,17,1008.1
,2023-08-18,8.9,13.5,5.4,,,WSW,37,10:57,10.1,77,,W,13,1005.2,11.9,55,,SSW,17,1009.0
,2023-08-19,9.4,18.2,0.2,,,W,35,12:19,13.5,76,,WNW,9,1016.0,17.4,60,,W,13,1016.9
,2023-08-20,12.9,19.2,0,,,WNW,28,04:48,13.5,67,,NNW,9,1023.6,19.0,41,,W,9,1021.6
,2023-08-21,11.5,17.8,0,,,N,48,12:13,14.6,73,,N,13,1020.9,16.4,64,,N,24,1016.8
,2023-08-22,13.2,14.3,0,,,NNW,39,01:35,14.3,77,,W,7,1015.7,11.7,97,,SSW,13,1015.9
,2023-08-23,5.6,17.0,3.6,,,NW,24,11:05,10.2,70,,N,9,1026.0,15.9,50,,W,7,1025.1
,2023-08-24,8.6,17.9,0,,,N,39,14:20,11.4,72,,N,9,1028.8,16.8,48,,N,22,1024.6
,2023-08-25,11.1,19.8,0,,,N,39,07:38,13.7,63,,N,15,1026.5,18.6,43,,S,9,1025.0
,2023-08-26,11.1,15.5,0,,,SSE,22,04:27,12.1,65,,ESE,9,1030.4,14.6,62,,SW,7,1027.1
,2023-08-27,8.9,15.7,0,,,SSW,20,13:44,10.6,77,, ,Calm,1028.0,15.3,67,,SW,9,1024.3
,2023-08-28,9.5,16.6,0,,,SW,20,13:47,11.8,93,, ,Calm,1023.8,14.9,77,,SSW,11,1020.7
,2023-08-29,10.8,18.4,0.2,,,N,41,18:12,16.6,66,,N,15,1017.0,17.5,66,,N,17,1013.6
,2023-08-30,12.7,14.9,3.8,,,N,44,02:19,12.8,100,,SW,6,1011.7,12.1,84,,W,13,1013.5
,2023-08-31,6.9,15.8,2.8,,,SSW,39,15:51,11.4,73,,NNW,11,1018.8,13.7,84,,SW,13,1018.0
