"Daily Weather Observations for Melbourne (Olympic Park), Victoria for October 2023"
"Prepared at 13:01 UTC on Saturday 10 August 2024   IDCJDW3033.202310"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-10-1,19.0,20.5,0,,,WSW,48,07:52,19.7,53,,SW,20,1007.0,18.7,44,,S,17,1013.2
,2023-10-2,7.4,28.5,0,,,NNW,41,13:17,10.3,77,,NNE,11,1017.4,25.8,27,,NNW,19,1010.1
,2023-10-3,10.3,19.2,3.0,,,N,48,02:58,19.0,81,,N,17,1007.7,16.4,94,,WSW,7,1008.8
,2023-10-4,10.5,13.5,22.8,,,S,37,22:44,11.3,100,,S,9,1011.2,12.7,77,,S,15,1010.1
,2023-10-5,8.8,16.5,6.8,,,SSW,39,22:15,11.3,63,,W,11,1017.7,16.0,54,,WNW,11,1017.4
,2023-10-6,10.0,15.2,7.2,,,SSE,37,15:44,11.7,64,,SSW,15,1030.3,14.2,55,,SSW,17,1031.4
,2023-10-7,7.7,14.3,0.4,,,SSE,30,15:06,11.6,61,,SSE,2,1034.4,13.5,57,,SSW,13,1032.9
,2023-10-8,5.8,15.8,0,,,S,26,14:06,11.7,71,, ,Calm,1032.6,15.0,54,,SSW,17,1030.1
,2023-10-9,8.9,15.8,0,,,SSW,30,12:40,12.1,69,,NNE,6,1028.4,15.4,54,,S,13,1026.5
,2023-10-10,11.0,16.5,0,,,SW,28,14:17,11.7,80,,SSW,4,1026.0,15.7,60,,SSW,13,1023.9
,2023-10-11,6.9,26.2,0,,,N,43,16:06,11.8,77,,NE,11,1021.8,25.6,37,,NNW,24,1018.3
,2023-10-12,11.8,16.1,1.2,,,N,46,04:02,14.5,87,,SW,9,1013.7,15.5,57,,SW,13,1013.7
,2023-10-13,10.6,17.5,13.4,,,WNW,37,12:44,13.2,73,,W,6,1020.0,16.9,70,,WSW,11,1018.8
,2023-10-14,11.6,19.6,2.2,,,WNW,41,09:46,14.1,63,,WNW,15,1018.0,18.3,50,,W,13,1016.8
,2023-10-15,11.5,17.2,0,,,NW,30,09:17,12.7,71,,NNW,11,1017.8,16.2,52,,S,11,1014.8
,2023-10-16,10.1,14.7,5.0,,,SSW,50,16:11,10.9,71,,SW,13,1016.3,14.2,54,,SSW,26,1021.3
,2023-10-17,10.3,16.1,0.8,,,SSW,31,16:07,12.7,62,,SE,9,1031.7,15.7,59,,SSW,13,1030.7
,2023-10-18,7.9,24.2,0.2,,,N,35,10:08,12.8,75,,N,11,1029.8,23.2,37,,NNW,15,1025.4
,2023-10-19,11.2,27.1,0,,,NNE,24,11:08,16.4,67,,NE,9,1022.7,25.8,34,,N,6,1018.6
,2023-10-20,14.3,29.5,0,,,N,30,16:11,18.8,60,,NE,9,1017.3,28.3,29,,NNE,13,1013.8
,2023-10-21,18.8,22.1,0,,,SW,44,17:37,20.0,53,,SW,20,1008.8,19.7,52,,SSW,15,1007.0
,2023-10-22,11.6,15.5,0.2,,,NW,48,09:26,14.0,68,,NW,13,1009.2,15.2,66,,W,15,1010.7
,2023-10-23,10.6,18.1,2.4,,,WSW,33,02:09,12.3,68,,WSW,11,1016.7,15.7,64,,SSW,13,1015.8
,2023-10-24,12.3,25.3,0,,,N,57,07:38,17.6,49,,N,28,1006.9,24.8,29,,NNW,20,1006.2
,2023-10-25,8.9,13.4,0,,,WSW,41,11:00,11.1,56,,W,11,1017.3,9.9,74,,WSW,11,1020.3
,2023-10-26,7.3,15.1,8.2,,,S,43,08:26,10.5,82,,SSW,7,1029.4,14.1,58,,S,20,1030.5
,2023-10-27,8.3,19.4,0.4,,,SSW,30,13:10,13.8,59,,SE,9,1033.6,18.4,50,,SW,9,1030.1
,2023-10-28,9.5,23.3,0,,,N,57,07:02,15.4,52,,N,22,1026.0,20.3,43,,N,24,1020.7
,2023-10-29,9.1,21.3,0,,,SSW,30,17:06,13.9,77,,SSW,4,1016.0,19.2,50,,SSW,11,1010.6
,2023-10-30,12.4,23.2,0,,,N,46,13:21,16.5,53,,W,7,1007.7,21.5,35,,NW,26,1003.9
,2023-10-31,9.1,16.0,1.8,,,WSW,39,23:32,12.0,58,,W,9,1017.3,14.8,57,,S,17,1019.7
