"Daily Weather Observations for Melbourne (Olympic Park), Victoria for November 2023"
"Prepared at 13:01 UTC on Friday  9 August 2024   IDCJDW3033.202311"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2023-11-1,11.2,16.0,0,,,S,30,12:35,13.2,65,,SW,9,1024.8,15.3,63,,S,13,1024.8
,2023-11-2,12.1,16.7,0,,,S,33,15:14,13.0,62,,SSE,4,1024.6,15.1,59,,S,13,1022.9
,2023-11-3,12.1,15.9,0,,,SW,31,15:17,13.0,67,,SSE,9,1023.5,15.1,60,,SSW,13,1022.5
,2023-11-4,11.2,20.9,0,,,SE,39,20:28,13.1,65,,SSE,13,1024.6,17.0,72,,SSW,17,1022.8
,2023-11-5,9.3,23.9,0,,,SSE,30,17:27,14.6,72,,WNW,6,1026.3,20.6,55,,SSW,13,1023.0
,2023-11-6,12.6,29.8,0,,,NNW,33,11:50,19.1,58,,N,9,1022.0,29.1,32,,NNW,20,1017.1
,2023-11-7,15.5,30.6,0,,,N,43,10:47,22.6,54,,SE,6,1016.6,29.9,31,,N,24,1012.5
,2023-11-8,16.3,30.8,0.6,,,N,39,12:34,23.7,47,,NNE,13,1014.0,18.8,77,,SSW,17,1011.6
,2023-11-9,15.0,23.2,8.8,,,SSW,31,17:29,15.8,80,,SSE,2,1015.8,19.1,69,,SW,13,1013.0
,2023-11-10,13.7,33.1,0,,,N,35,13:33,20.5,70,,NE,6,1014.0,30.0,35,,SSW,7,1010.5
,2023-11-11,18.7,19.1,0,,,N,48,03:31,18.9,72,,S,19,1013.6,17.6,60,,S,17,1018.1
,2023-11-12,12.1,18.2,0,,,S,39,17:27,13.8,58,,WSW,9,1020.2,16.8,57,,S,15,1020.7
,2023-11-13,11.8,20.6,0.4,,,SSW,31,16:56,14.2,64,,SSW,11,1022.2,18.1,47,,SSW,9,1018.3
,2023-11-14,12.7,16.8,0.6,,,SSW,24,00:30,12.8,80,,WSW,7,1017.6,15.9,65,,S,13,1016.8
,2023-11-15,12.7,18.2,0.2,,,S,28,15:11,14.5,66,,E,6,1015.7,17.6,53,,SSW,13,1014.3
,2023-11-16,12.3,17.4,0.6,,,SSW,43,16:59,13.6,78,,SSW,11,1014.9,15.7,60,,S,19,1015.5
,2023-11-17,12.4,17.8,0,,,SSW,31,11:15,13.9,54,,S,13,1021.6,16.8,50,,S,15,1021.5
,2023-11-18,13.8,18.8,0,,,S,31,14:46,14.9,61,,S,6,1021.6,18.2,60,,S,13,1019.4
,2023-11-19,11.5,21.6,0,,,SSW,30,13:59,14.6,78,, ,Calm,1019.2,20.6,56,,S,17,1017.4
,2023-11-20,14.4,19.3,0,,,SSW,31,12:40,15.7,72,,SSE,7,1021.0,18.5,66,,SSW,17,1019.5
,2023-11-21,15.1,19.0,0,,,SSW,35,16:05,16.4,77,,SSW,7,1021.0,18.5,68,,S,15,1020.4
,2023-11-22,13.8,18.6,0,,,SSW,39,14:09,16.9,64,,S,11,1026.0,17.5,65,,SSW,20,1024.2
,2023-11-23,15.2,26.5,0,,,SE,30,17:54,16.9,73,,ESE,9,1025.2,22.1,65,,SSW,11,1021.8
,2023-11-24,16.9,28.7,0,,,N,33,10:36,22.1,68,,NNE,2,1017.8,24.6,51,,N,17,1014.3
,2023-11-25,17.2,26.5,8.8,,,NNW,44,16:26,22.7,72,,N,17,1010.0,24.2,43,,N,17,1007.1
,2023-11-26,15.1,19.8,3.8,,,S,30,18:26,15.3,100,,SW,9,1012.2,19.1,73,,SSW,11,1012.6
,2023-11-27,13.7,18.5,7.2,,,S,30,12:08,14.1,100,,SSW,9,1015.7,17.4,69,,SSW,13,1014.7
,2023-11-28,13.8,23.2,1.8,,,E,37,17:16,14.4,98,,NW,2,1013.4,22.3,64,,SSW,7,1009.9
,2023-11-29,14.4,19.1,2.8,,,SE,57,15:23,16.8,96,,SE,20,1007.0,17.7,87,,SE,20,1006.4
,2023-11-30,14.4,18.8,6.8,,,SE,43,10:25,16.5,76,,SSE,15,1012.0,17.8,67,,SSE,15,1011.6
