"Daily Weather Observations for Melbourne (Olympic Park), Victoria for March 2024"
"Prepared at 13:01 UTC on Monday 19 August 2024   IDCJDW3033.202403"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-03-1,14.4,28.1,0,,,SSW,37,16:13,18.0,72,,NE,2,1015.1,26.5,49,,SSW,9,1011.7
,2024-03-2,15.9,20.7,0,,,S,35,13:08,18.7,67,,S,11,1017.1,19.4,50,,S,19,1018.6
,2024-03-3,12.8,20.9,0,,,SSE,39,14:46,15.8,58,,WSW,11,1018.8,20.6,52,,S,15,1019.4
,2024-03-4,13.2,20.7,0,,,SSW,35,14:50,15.4,54,,SE,9,1024.8,19.5,51,,S,19,1023.1
,2024-03-5,11.8,32.1,0,,,N,31,09:40,14.3,78,,NE,9,1019.5,30.2,26,,N,13,1016.0
,2024-03-6,14.3,25.1,0,,,S,33,15:01,19.1,56,, ,Calm,1016.9,23.8,54,,SSW,17,1016.5
,2024-03-7,16.9,21.9,0,,,SSW,35,15:48,17.9,64,,SE,13,1025.1,21.2,54,,SSW,15,1024.0
,2024-03-8,14.2,26.0,0,,,SSW,26,15:08,17.7,75,,N,6,1023.3,23.6,58,,SSW,13,1020.2
,2024-03-9,16.9,37.6,0,,,N,57,09:15,21.2,73,,NNE,6,1019.0,35.9,29,,N,24,1016.5
,2024-03-10,21.2,36.9,0,,,N,39,09:01,28.4,35,,N,19,1022.6,36.2,26,,NNW,19,1021.0
,2024-03-11,20.5,35.1,0,,,NNW,44,14:46,23.6,55,,NNE,9,1022.1,33.6,27,,N,22,1018.2
,2024-03-12,22.8,23.1,0,,,SSW,35,10:35,22.9,71,,SSW,15,1017.3,20.4,74,,SSW,11,1019.2
,2024-03-13,17.2,19.9,1.2,,,SE,22,23:35,17.3,84,,ENE,4,1018.5,19.1,74,,SSE,9,1015.8
,2024-03-14,16.4,22.7,0.4,,,SSW,39,13:23,18.3,77,,SSE,9,1015.5,20.7,71,,SSW,17,1016.0
,2024-03-15,15.7,27.8,0,,,SSE,30,17:29,18.5,76,,E,2,1020.3,26.9,41,,SSW,6,1017.9
,2024-03-16,14.4,29.6,0,,,S,26,14:54,17.1,77,,NNE,7,1020.7,29.0,30,,ENE,9,1015.8
,2024-03-17,17.1,30.2,0,,,SSE,33,17:16,20.6,60,,N,11,1015.2,27.4,39,,S,11,1011.8
,2024-03-18,16.3,31.9,0,,,NNW,26,10:33,19.9,64,,ENE,6,1014.4,29.5,33,,NE,9,1011.1
,2024-03-19,19.7,28.6,0,,,NNW,69,10:16,25.5,53,,NNE,11,1009.0,26.9,56,,NNW,22,1007.8
,2024-03-20,13.2,18.4,0.2,,,S,48,14:38,14.3,57,,W,13,1022.7,17.3,43,,S,19,1026.1
,2024-03-21,9.4,20.5,0.2,,,SSE,30,09:56,13.5,61,, ,Calm,1030.7,19.7,43,,SSW,15,1026.9
,2024-03-22,9.7,20.8,0,,,S,33,13:12,12.8,73,,NE,7,1025.4,19.9,53,,S,17,1022.9
,2024-03-23,11.9,19.8,0,,,S,33,12:13,14.1,82,, ,Calm,1026.4,19.3,56,,S,15,1024.7
,2024-03-24,12.2,22.3,0,,,SSW,22,15:52,14.6,59,,WNW,6,1024.0,21.2,44,,S,9,1021.2
,2024-03-25,14.3,22.6,0,,,S,26,12:42,15.4,67,,NNW,13,1021.2,21.1,53,,SSW,11,1018.7
,2024-03-26,13.1,21.8,0,,,SSW,24,11:48,14.8,76,,W,2,1023.0,20.8,49,,SSW,9,1021.8
,2024-03-27,14.8,20.5,0.6,,,S,31,14:24,15.9,82,,WSW,6,1025.9,20.2,59,,S,13,1025.8
,2024-03-28,15.7,20.4,0.2,,,SSW,28,12:39,16.4,58,,SE,7,1027.0,19.2,56,,SSW,15,1025.7
,2024-03-29,10.6,28.0,0,,,N,31,11:57,12.9,83,,NNE,6,1025.6,25.9,42,,SW,7,1022.1
,2024-03-30,12.9,22.4,0,,,SSW,24,13:03,15.0,91,,NNE,7,1026.4,21.6,58,,SSW,13,1024.9
,2024-03-31,13.5,20.9,0,,,SSW,20,15:12,14.9,95,,SE,4,1023.9,19.4,70,,SW,7,1020.1
