"Daily Weather Observations for Melbourne (Olympic Park), Victoria for April 2024"
"Prepared at 13:01 UTC on Sunday 18 August 2024   IDCJDW3033.202404"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-04-1,14.0,28.2,0,,,N,43,10:59,16.5,69,,NNE,9,1015.3,22.2,71,,NNE,15,1011.7
,2024-04-2,14.6,21.4,53.2,,,SW,39,12:12,15.4,83,,NNW,7,1009.5,20.5,54,,W,11,1011.0
,2024-04-3,12.5,16.6,2.2,,,SSW,24,09:43,14.0,77,,SW,6,1020.7,15.2,90,,SW,2,1021.9
,2024-04-4,9.5,18.9,5.2,,,SSE,30,13:53,11.7,92,, ,Calm,1027.2,17.7,51,,SSE,13,1025.9
,2024-04-5,11.5,20.6,0,,,SSW,31,15:19,13.9,70,,N,6,1029.2,19.6,63,,SW,13,1025.9
,2024-04-6,13.9,22.1,0,,,SE,20,16:25,15.8,91,, ,Calm,1020.5,21.9,46,,E,6,1015.6
,2024-04-7,15.7,20.3,2.0,,,SW,26,11:35,17.2,100,,WSW,2,1013.0,19.8,71,,SSW,13,1011.5
,2024-04-8,13.3,20.6,2.8,,,S,28,16:05,15.3,72,,WNW,7,1012.6,19.0,63,,SSE,7,1009.5
,2024-04-9,10.3,16.6,36.0,,,S,44,10:47,12.2,82,,SW,9,1017.6,14.0,70,,SSW,15,1018.7
,2024-04-10,11.7,17.8,2.4,,,SSW,33,21:22,14.6,70,,WSW,9,1022.2,16.8,67,,S,13,1020.7
,2024-04-11,12.9,17.7,1.4,,,S,22,11:33,14.5,85,,SW,6,1023.2,17.3,56,,SSW,9,1022.7
,2024-04-12,12.2,17.7,2.0,,,SSE,19,12:03,13.2,80,,W,7,1023.4,17.2,62,,SSW,6,1021.1
,2024-04-13,11.7,19.0,0.4,,,SW,19,15:13,14.2,75,,WSW,7,1024.1,18.2,51,,S,9,1022.3
,2024-04-14,10.5,19.1,0,,,SSW,15,13:04,12.9,81,,NE,7,1024.4,18.9,58,,S,6,1022.4
,2024-04-15,9.9,20.4,0,,,SSW,17,13:12,14.9,72,,NE,6,,19.8,54,,SSW,7,1022.7
,2024-04-16,11.7,19.0,0.2,,,S,20,16:48,14.7,80,, ,Calm,1026.1,17.8,61,,SW,7,1024.2
,2024-04-17,10.8,18.1,0,,,SSW,26,14:08,14.2,92,, ,Calm,1027.1,16.1,73,,SSW,9,1024.7
,2024-04-18,11.4,16.9,4.0,,,NW,30,16:51,13.4,77,,W,9,1022.5,16.5,56,,W,9,1018.6
,2024-04-19,12.0,18.9,6.0,,,S,31,11:33,15.1,79,,SSE,7,1021.2,17.8,69,,SSW,9,1022.7
,2024-04-20,8.5,17.4,0.2,,,SSW,26,12:07,13.7,85,,SE,2,1030.9,15.8,61,,SSW,13,1029.7
,2024-04-21,10.8,16.4,0,,,SSW,19,14:04,13.0,76,, ,Calm,1031.8,15.9,60,,SSW,9,1029.2
,2024-04-22,6.9,24.3,0,,,N,31,16:00,10.4,84,,N,9,1028.2,24.0,33,,N,15,1023.2
,2024-04-23,10.3,25.3,0,,,N,41,11:19,19.2,40,,NNW,13,1020.9,24.6,32,,NNW,22,1014.5
,2024-04-24,10.8,16.6,5.6,,,S,33,11:33,11.8,77,,W,11,1022.5,16.3,53,,SSW,11,1022.6
,2024-04-25,11.0,15.9,0.2,,,S,33,15:17,13.4,69,,W,11,1024.6,15.5,60,,S,15,1024.5
,2024-04-26,12.3,15.3,0,,,WSW,28,12:54,13.5,63,,SW,7,1026.6,14.7,58,,S,9,1026.1
,2024-04-27,9.4,18.0,0,,,SSW,20,14:42,12.7,68,,NNE,9,1027.6,16.9,57,,SSW,11,1024.1
,2024-04-28,7.9,22.6,0,,,N,35,13:18,10.4,78,,NNE,7,1024.5,22.0,38,,N,13,1019.2
,2024-04-29,10.4,16.4,0,,,S,28,14:17,15.6,65,,WSW,6,1023.4,15.2,64,,S,13,1024.7
,2024-04-30,10.5,15.3,0,,,SSE,30,11:00,12.5,73,,SE,9,1031.7,14.9,59,,SE,13,1030.5
