"Daily Weather Observations for Melbourne (Olympic Park), Victoria for May 2024"
"Prepared at 13:01 UTC on Saturday 17 August 2024   IDCJDW3033.202405"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-05-1,8.2,18.8,0.2,,,SSE,28,14:25,12.5,75,,SSE,7,1033.4,18.3,49,,SE,9,1030.7
,2024-05-2,8.3,16.6,0,,,S,19,00:20,10.3,91,,NNE,6,1033.4,16.2,64,,SW,6,1030.6
,2024-05-3,6.6,17.1,0,,,SE,17,20:30,8.9,88,,NE,7,1031.0,16.4,71,,SW,7,1027.2
,2024-05-4,5.9,16.4,0,,,NNE,15,13:15,8.5,100,,NNE,7,1027.1,16.2,63,, ,Calm,1024.5
,2024-05-5,8.4,18.3,0,,,SSE,30,20:10,12.0,93,, ,Calm,1027.1,16.3,75,,SW,9,1026.4
,2024-05-6,9.6,19.7,0,,,SSE,28,14:04,12.5,100,,SE,11,1033.3,19.2,55,,SE,11,1030.3
,2024-05-7,8.3,16.4,0,,,S,17,12:25,13.3,83,,N,9,1033.1,15.4,74,,S,7,1030.6
,2024-05-8,10.2,18.3,0,,,SSW,15,13:17,13.0,82,,NE,7,1033.0,17.7,65,,SW,7,1029.7
,2024-05-9,9.7,16.6,0,,,NW,17,22:09,12.7,100,, ,Calm,1031.9,16.0,81,,SSW,7,1029.8
,2024-05-10,12.7,17.1,14.0,,,N,13,05:22,14.0,100,, ,Calm,1030.2,16.1,89,,SSW,6,1028.2
,2024-05-11,12.8,19.2,1.8,,,ESE,28,14:02,14.2,100,, ,Calm,1028.3,18.1,61,,SE,13,1025.9
,2024-05-12,8.6,18.7,0,,,SSW,15,15:40,11.3,98,,ENE,2,1025.0,18.0,68,,SW,7,1021.8
,2024-05-13,9.2,18.9,0,,,SW,24,19:59,11.6,88,,NE,9,1023.0,17.3,67,,SSW,9,1021.7
,2024-05-14,11.6,16.7,0,,,SSE,22,13:25,13.8,60,,W,9,1028.5,16.1,57,,SSW,9,1028.5
,2024-05-15,6.7,17.8,0,,,NW,19,11:34,9.1,85,,NE,9,1030.1,16.5,58,,SSW,9,1028.1
,2024-05-16,6.5,17.7,0,,,SSW,15,14:09,9.4,86,,NNE,7,1030.0,17.2,57,,S,7,1027.3
,2024-05-17,7.6,15.8,0,,,SW,35,14:55,12.2,83,,NNW,9,1027.1,12.7,90,,SSW,17,1026.6
,2024-05-18,7.8,13.9,1.8,,,SSE,28,10:44,10.6,56,,SE,9,1032.7,13.3,45,,SW,11,1031.0
,2024-05-19,6.2,15.4,0,,,NW,26,03:52,11.4,74,,NW,6,1025.3,14.1,95,,WNW,2,1022.3
,2024-05-20,10.2,14.7,3.2,,,SSW,24,00:05,11.0,100,,SW,7,1027.4,13.9,76,,SSW,11,1027.5
,2024-05-21,10.3,14.7,0.8,,,SSW,19,12:56,11.6,88,,SSW,4,1030.8,13.6,66,,S,9,1029.2
,2024-05-22,5.1,16.2,0.2,,,SSW,17,13:58,7.4,88,,NNE,9,1028.9,15.9,67,,S,6,1026.5
,2024-05-23,7.3,15.2,0.8,,,SSW,15,13:12,11.4,95,,E,2,1029.2,14.8,66,,SSW,6,1027.3
,2024-05-24,5.9,13.7,0,,,SSW,15,15:46,9.0,83,,NE,6,1029.0,13.6,82,,SSW,2,1027.3
,2024-05-25,8.7,17.1,0,,,NNE,13,08:30,12.1,91,,N,6,1028.5,14.7,72,,SSW,6,1025.8
,2024-05-26,5.2,16.7,0,,,NNE,15,06:19,6.3,100,,NNE,9,1027.1,16.3,55,,S,6,1024.2
,2024-05-27,5.2,20.2,0,,,NNE,17,09:10,7.6,85,,NNE,11,1026.6,19.5,37,,NNW,9,1024.3
,2024-05-28,7.4,20.0,0,,,NNE,26,12:36,10.1,72,,NE,9,1027.6,19.5,45,,NNE,15,1025.2
,2024-05-29,7.9,19.5,0,,,N,54,13:37,12.9,57,,N,13,1024.8,19.1,44,,N,26,1020.8
,2024-05-30,12.9,20.4,0,,,N,65,09:48,17.4,60,,N,20,1015.3,20.0,52,,N,24,1009.7
,2024-05-31,14.2,18.4,3.6,,,NNW,43,11:17,14.8,60,,N,17,1012.1,17.9,38,,WNW,13,1013.1
