"Daily Weather Observations for Melbourne (Olympic Park), Victoria for June 2024"
"Prepared at 16:01 UTC on Friday 16 August 2024   IDCJDW3033.202406"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-06-1,7.3,14.0,0,,,S,26,15:11,10.2,76,,NNE,2,1025.9,13.5,69,,SSW,13,1025.2
,2024-06-2,5.4,13.9,0.2,,,S,35,11:02,8.9,97,, ,Calm,1027.0,13.3,59,,S,9,1024.1
,2024-06-3,8.2,14.6,0.8,,,S,24,13:15,9.6,89,,SW,6,1016.5,13.4,64,,SSW,11,1012.9
,2024-06-4,7.2,13.8,0,,,NW,20,02:04,11.1,65,,NNW,13,1018.0,12.8,60,,S,6,1016.9
,2024-06-5,8.6,14.7,0,,,S,24,15:18,10.5,84,,NNE,2,1022.5,14.4,63,,SSW,7,1022.8
,2024-06-6,8.9,17.1,0,,,SSE,31,12:56,11.4,84,,S,2,1027.3,16.3,60,,SSE,11,1025.2
,2024-06-7,9.3,16.0,0,,,,,,10.8,100,,SSE,7,1025.0,15.1,72,,S,13,1020.8
,2024-06-8,7.8,14.3,0.2,,,S,17,12:13,11.2,100,,SE,2,1018.0,12.9,95,,SSW,9,1016.1
,2024-06-9,11.1,14.6,0.4,,,NW,19,04:31,11.8,99,,WSW,6,1018.5,13.7,67,,SSW,6,1018.7
,2024-06-10,5.5,15.6,0.8,,,N,54,23:50,7.3,99,,NE,6,1024.1,15.1,43,,N,15,1020.2
,2024-06-11,7.2,16.8,2.8,,,N,61,07:15,12.2,79,,N,28,1011.6,15.7,64,,NNW,15,1007.1
,2024-06-12,9.6,12.9,5.6,,,W,37,04:58,10.9,74,,SW,11,1016.2,12.6,52,,SSW,11,1019.5
,2024-06-13,8.3,10.1,0.8,,,W,17,09:39,9.3,86,,WSW,7,1023.5,9.6,99,, ,Calm,1022.0
,2024-06-14,8.0,12.2,1.2,,,N,15,09:50,8.6,100,,NNE,6,1020.9,12.1,70,,SSE,4,1018.7
,2024-06-15,4.1,14.4,0,,,ESE,33,11:48,6.3,100,, ,Calm,1022.7,13.3,65,,S,11,1021.2
,2024-06-16,6.1,13.4,0,,,S,39,19:04,8.6,79,,SW,7,1022.1,12.8,65,,S,13,1021.3
,2024-06-17,7.5,13.9,0.2,,,S,24,00:57,8.8,89,, ,Calm,1022.6,13.4,62,,SSW,11,1020.9
,2024-06-18,3.6,13.0,0,,,SSW,17,15:15,5.5,86,,NNE,7,1020.9,12.2,60,,SSW,7,1018.1
,2024-06-19,1.4,12.9,0,,,NNE,24,14:42,3.2,86,,NNE,9,1018.6,12.2,48,,N,11,1015.6
,2024-06-20,3.1,13.9,0,,,SSE,17,20:49,7.1,73,,NNE,7,1017.4,11.3,58,,SSW,7,1016.1
,2024-06-21,4.0,13.2,0,,,SSW,24,12:59,5.9,88,, ,Calm,1023.0,12.7,62,,SSW,13,1023.8
,2024-06-22,5.1,13.3,0.2,,,SSW,20,12:17,7.1,100,,NE,7,1031.0,12.2,72,,SSW,9,1029.3
,2024-06-23,2.2,15.0,0,,,N,24,14:39,2.9,100,,NNE,9,1027.8,14.9,51,,N,13,1022.8
,2024-06-24,2.9,13.5,0,,,N,39,12:28,6.7,81,,NNE,9,1018.6,12.5,57,,NNE,15,1015.1
,2024-06-25,6.7,16.8,0,,,N,43,01:55,10.3,75,,N,9,1015.4,16.5,45,,N,19,1013.7
,2024-06-26,10.0,14.4,0.2,,,NNW,35,14:05,10.2,69,,N,17,1014.9,13.7,50,,NNW,17,1014.2
,2024-06-27,9.3,16.6,0.2,,,NNW,28,10:57,11.2,77,,NNW,9,1019.8,15.1,45,,NNW,11,1019.3
,2024-06-28,8.2,16.8,0,,,N,50,22:49,12.1,71,,NNW,20,1022.3,15.6,54,,N,26,1018.1
,2024-06-29,12.0,12.9,0,,,N,50,00:32,12.8,51,,N,19,1013.1,10.6,89,,NW,7,1013.4
,2024-06-30,7.0,12.2,7.0,,,SSE,35,12:45,7.6,87,,SW,6,1021.0,10.7,77,,SSW,11,1021.8
