"Daily Weather Observations for Melbourne (Olympic Park), Victoria for July 2024"
"Prepared at 13:01 UTC on Wednesday 21 August 2024   IDCJDW3033.202407"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-07-1,6.8,12.0,4.4,,,S,19,12:45,7.5,97,,NE,2,1028.4,11.6,61,,SSW,7,1028.3
,2024-07-2,3.8,12.4,0,,,SSW,22,15:23,5.7,90,,NE,6,1034.4,11.5,51,,SSW,11,1033.0
,2024-07-3,1.0,11.7,0,,,SSW,17,15:58,2.8,84,,NE,9,1037.9,10.6,67,,WSW,9,1036.7
,2024-07-4,1.3,11.9,0,,,NE,15,08:39,2.3,95,,NE,11,1040.3,10.7,84,,WSW,6,1037.9
,2024-07-5,2.2,11.4,0,,,SSE,17,19:10,8.8,96,, ,Calm,1041.1,11.0,87,,SW,7,1039.9
,2024-07-6,3.7,10.5,0,,,ESE,13,10:41,7.6,82,,ENE,2,1041.5,9.9,72,,S,7,1038.0
,2024-07-7,3.4,16.9,0,,,NE,24,14:59,3.6,100,,NE,9,1035.0,15.8,44,,NE,17,1028.9
,2024-07-8,3.5,16.6,0,,,NNE,41,13:15,9.4,77,,NNE,4,1023.0,15.5,65,,NNE,22,1017.4
,2024-07-9,9.3,13.1,8.4,,,SSW,30,17:37,11.4,100,,W,6,1020.2,12.3,100,,SW,9,1020.3
,2024-07-10,10.2,14.3,11.8,,,NNE,35,23:38,10.5,80,,WNW,9,1021.9,12.9,63,,N,9,1019.8
,2024-07-11,9.7,13.6,0,,,N,52,16:23,12.1,69,,NNE,17,1017.5,13.4,62,,N,28,1013.0
,2024-07-12,10.2,14.8,3.6,,,N,30,01:18,10.4,100,,N,9,1015.4,14.6,65,,SSW,2,1014.0
,2024-07-13,7.9,13.7,0.8,,,SSW,24,14:18,10.4,93,,W,7,1017.3,12.6,73,,SSW,11,1016.1
,2024-07-14,6.8,12.0,3.4,,,SSW,30,16:46,7.5,92,,SW,9,1016.3,11.3,69,,SW,11,1013.3
,2024-07-15,7.3,12.1,1.2,,,WSW,41,11:37,9.0,80,,WNW,13,1007.8,10.3,80,,W,15,1004.1
,2024-07-16,9.0,13.6,19.6,,,S,37,02:02,12.1,100,,SSW,9,1005.8,13.0,88,,SSW,9,1007.1
,2024-07-17,8.6,14.0,0.2,,,SSW,33,18:57,10.3,100,,SW,4,1012.4,12.3,85,,SW,13,1011.6
,2024-07-18,7.3,12.1,1.0,,,WSW,28,12:17,8.5,82,,WSW,9,1017.1,11.0,63,,SSW,6,1015.6
,2024-07-19,7.7,12.1,0,,,N,57,20:16,9.5,66,,N,20,1010.5,11.2,67,,N,28,1005.3
,2024-07-20,9.5,12.2,0,,,N,46,00:09,10.8,60,,NW,20,997.5,11.7,85,,W,15,1002.5
,2024-07-21,7.9,16.6,4.0,,,NW,31,14:44,10.0,76,,N,11,1018.2,14.3,62,,N,17,1017.6
,2024-07-22,9.9,17.1,0.6,,,NNW,41,12:19,12.3,81,,N,17,1021.9,17.0,58,,NNW,19,1021.2
,2024-07-23,11.1,17.7,0,,,NNW,50,15:19,12.7,57,,N,17,1023.9,17.0,46,,N,19,1020.9
,2024-07-24,11.0,15.8,0.2,,,N,56,15:45,11.6,56,,N,19,1019.1,15.7,48,,N,22,1013.8
,2024-07-25,11.5,13.7,0,,,N,54,02:09,12.7,64,,N,15,1010.3,12.5,77,,N,9,1009.1
,2024-07-26,7.7,14.5,3.2,,,NNW,54,15:14,9.8,74,,N,19,1017.2,14.0,61,,N,31,1015.9
,2024-07-27,9.7,11.8,0,,,W,52,17:48,10.2,74,,N,19,1016.4,9.1,86,,SW,6,1016.5
,2024-07-28,5.4,11.7,6.2,,,SSW,41,14:24,7.1,82,,WSW,11,1024.0,11.2,57,,SSW,13,1025.5
,2024-07-29,7.0,11.7,2.8,,,W,17,01:10,8.1,100,,WSW,4,1031.6,11.4,93,, ,Calm,1031.3
,2024-07-30,6.8,13.9,1.2,,,SSW,19,14:36,7.5,96,,NE,11,1037.5,12.4,69,,SSW,9,1035.9
,2024-07-31,3.5,10.2,0,,,NE,13,04:31,5.0,100,,NNE,7,1037.8,9.2,78,,N,9,1036.0
