"Daily Weather Observations for Melbourne (Olympic Park), Victoria for August 2024"
"Prepared at 05:37 UTC on Friday 23 August 2024   IDCJDW3033.202408"
"Copyright 2003 Commonwealth Bureau of Meteorology"
"Observations were drawn from Melbourne (Olympic Park) {station 086338}"

,"Date","Minimum temperature (°C)","Maximum temperature (°C)","Rainfall (mm)","Evaporation (mm)","Sunshine (hours)","Direction of maximum wind gust ","Speed of maximum wind gust (km/h)","Time of maximum wind gust","9am Temperature (°C)","9am relative humidity (%)","9am cloud amount (oktas)","9am wind direction","9am wind speed (km/h)","9am MSL pressure (hPa)","3pm Temperature (°C)","3pm relative humidity (%)","3pm cloud amount (oktas)","3pm wind direction","3pm wind speed (km/h)","3pm MSL pressure (hPa)"
,2024-08-1,1.1,16.3,0.2,,,N,17,15:32,3.2,100,,NNE,9,1035.4,16.0,45,,N,9,1031.0
,2024-08-2,3.1,15.7,0,,,NNW,44,10:39,6.8,80,,NNE,9,1030.2,14.7,47,,N,20,1026.4
,2024-08-3,6.8,14.5,0,,,N,26,08:16,11.5,62,,N,13,1028.3,13.5,57,,S,7,1027.4
,2024-08-4,3.2,15.3,0,,,NNE,15,07:30,5.2,92,,NNE,7,1029.8,15.1,45,,WSW,4,1026.0
,2024-08-5,5.2,15.8,0,,,NNE,15,13:03,7.6,88,,NNE,9,1024.8,15.1,48,,SW,6,1021.9
,2024-08-6,6.7,17.5,0,,,N,41,12:24,10.5,77,,N,13,1023.9,17.3,38,,WSW,11,1020.9
,2024-08-7,8.2,17.9,0,,,N,35,15:53,10.8,74,,N,13,1025.2,16.3,52,,N,17,1023.7
,2024-08-8,9.6,14.0,0,,,N,50,10:38,11.9,62,,N,24,1023.7,13.4,60,,N,22,1020.5
,2024-08-9,10.6,18.1,0,,,N,26,00:41,12.5,71,,N,9,1025.9,17.1,43,,W,6,1024.8
,2024-08-10,7.5,17.4,0,,,SSW,20,14:44,8.5,87,,NNE,7,1029.7,15.7,62,,SSW,13,1028.4
,2024-08-11,5.9,19.8,0,,,NNE,19,13:16,8.7,86,,N,9,1031.5,18.7,49,,SW,7,1028.6
,2024-08-12,6.6,20.7,0,,,N,43,11:19,11.3,74,,NNE,9,1030.0,20.2,42,,N,22,1026.2
,2024-08-13,9.7,20.5,0,,,N,39,14:59,14.0,72,,N,13,1026.4,20.0,54,,N,20,1021.4
,2024-08-14,12.4,21.9,0,,,NNW,37,16:57,16.5,71,,N,17,1019.6,21.6,51,,NNE,15,1016.1
,2024-08-15,12.8,20.9,0,,,NNE,39,11:46,16.1,69,,N,17,1017.8,19.4,55,,NNE,17,1014.4
,2024-08-16,12.1,16.6,0,,,NNW,43,09:43,16.1,77,,N,19,1009.5,16.1,65,,NNW,15,1006.6
,2024-08-17,10.3,15.0,0.8,,,S,20,13:42,11.4,83,,N,9,1006.3,14.6,60,,SW,9,1007.4
,2024-08-18,10.7,15.4,1.2,,,SSW,22,15:03,12.8,84,,SSE,2,1017.7,15.1,73,,SSW,9,1018.1
,2024-08-19,6.2,18.6,0.2,,,N,33,13:43,8.0,100,,NE,9,1023.7,17.8,58,,N,19,1020.5
,2024-08-20,7.8,17.9,0.4,,,NNW,50,11:04,16.5,65,,N,13,1016.3,15.5,73,,NNE,17,1009.5
,2024-08-21,11.9,19.2,1.2,,,NW,30,11:10,14.9,67,,NW,9,1013.0,18.0,51,,NNW,15,1011.7
,2024-08-22,11.3,18.9,4.0,,,NNW,31,11:28,13.9,71,,NNW,13,1017.6,18.3,37,,NW,9,1016.8
,2024-08-23,10.8,,0,,,,,,13.8,71,,N,17,1021.2,18.1,53,,N,19,1016.4
