Week Ending (Friday),Number of Sick People
2008-01-04,50
2008-01-11,16
2008-01-18,36
2008-01-25,19
2008-02-01,23
2008-02-08,30
2008-02-15,36
2008-02-22,31
2008-02-29,35
2008-03-07,45
2008-03-14,45
2008-03-21,22
2008-03-28,37
2008-04-04,46
2008-04-11,35
2008-04-18,43
2008-04-25,39
2008-05-02,47
2008-05-09,49
2008-05-16,40
2008-05-23,74
2008-05-30,60
2008-06-06,64
2008-06-13,59
2008-06-20,65
2008-06-27,62
2008-07-04,77
2008-07-11,105
2008-07-18,176
2008-07-25,160
2008-08-01,205
2008-08-08,338
2008-08-15,472
2008-08-22,716
2008-08-29,959
2008-09-05,989
2008-09-12,880
2008-09-19,615
2008-09-26,503
2008-10-03,368
2008-10-10,263
2008-10-17,186
2008-10-24,184
2008-10-31,149
2008-11-07,101
2008-11-14,88
2008-11-21,71
2008-11-28,53
2008-12-05,59
2008-12-12,43
2008-12-19,45
2008-12-26,20
2009-01-02,34
2009-01-09,56
2009-01-16,38
2009-01-23,36
2009-01-30,36
2009-02-06,32
2009-02-13,34
2009-02-20,22
2009-02-27,31
2009-03-06,37
2009-03-13,36
2009-03-20,31
2009-03-27,38
2009-04-03,49
2009-04-10,27
2009-04-17,31
2009-04-24,74
2009-05-01,150
2009-05-08,139
2009-05-15,157
2009-05-22,436
2009-05-29,1753
2009-06-05,1948
2009-06-12,2316
2009-06-19,2746
2009-06-26,3289
2009-07-03,4901
2009-07-10,5831
2009-07-17,7614
2009-07-24,8182
2009-07-31,5282
2009-08-07,4130
2009-08-14,2768
2009-08-21,1843
2009-08-28,1061
2009-09-04,732
2009-09-11,465
2009-09-18,322
2009-09-25,189
2009-10-02,125
2009-10-09,119
2009-10-16,87
2009-10-23,64
2009-10-30,84
2009-11-06,77
2009-11-13,73
2009-11-20,46
2009-11-27,34
2009-12-04,53
2009-12-11,34
2009-12-18,50
2009-12-25,30
2010-01-01,33
2010-01-08,32
2010-01-15,26
2010-01-22,35
2010-01-29,38
2010-02-05,29
2010-02-12,33
2010-02-19,44
2010-02-26,35
2010-03-05,52
2010-03-12,26
2010-03-19,35
2010-03-26,43
2010-04-02,36
2010-04-09,55
2010-04-16,75
2010-04-23,53
2010-04-30,50
2010-05-07,45
2010-05-14,51
2010-05-21,59
2010-05-28,48
2010-06-04,44
2010-06-11,60
2010-06-18,68
